Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
91,2013-02-19 15:00:00,2013-02-19 13:00:00,"2,046.36",78
92,2013-02-20 08:00:00,2013-02-20 07:00:00,"42,135.62",2746
94,2013-02-20 08:00:00,2013-02-20 07:00:00,0.01,1597
200,2013-02-20 11:00:00,2013-02-20 12:50:00,"3,917.50",138
204,2013-02-18 17:00:00,2013-02-20 07:45:00,"26,812.80",2442
205,2013-02-20 06:00:00,2013-02-19 08:30:00,"61,542.00",4117.6
206,2013-02-20 00:00:00,(none),"59,143.15",2148.5
209,2013-02-20 08:00:00,2013-02-20 09:03:00,"64,960.00",2913
170,2013-02-20 07:00:00,2013-02-20 07:00:00,"22,400.00",583
186,2013-02-20 08:00:00,2013-02-20 06:00:00,"42,106.43",2915
195,2013-02-20 08:00:00,2013-02-20 07:30:00,"54,220.00",1953
19,2013-02-20 10:00:00,2013-02-20 11:25:00,"6,000.00",635
