Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started
156,Hillside Aluminium Ltd,(none),2014-06-20 04:40:00,2014-06-20 04:40:00,"2,081.45",42,2014-06-20 05:30:00
156,Hillside Aluminium Ltd,(none),2014-06-20 15:00:00,2014-06-20 15:15:00,"2,042.91",24,2014-06-20 15:20:00
156,Hillside Aluminium Ltd,(none),2014-06-20 18:25:00,2014-06-20 18:25:00,"2,026.74",12,2014-06-20 18:30:00
156,Hillside Aluminium Ltd,(none),2014-06-20 21:00:00,2014-06-20 21:00:00,"2,062.80",12,2014-06-20 21:05:00
156,Hillside Aluminium Ltd,(none),2014-06-20 23:50:00,2014-06-20 23:50:00,"2,050.37",12,2014-06-20 23:55:00
236,Buckman New,(none),2014-06-20 08:00:00,2014-06-20 09:58:00,"9,816.00",279,2014-06-20 10:00:00
237,Buckman New,(none),2014-06-20 18:00:00,2014-06-20 15:51:00,"27,591.08",1321,2014-06-20 16:00:00
E54,Buckman New,(none),2014-06-20 18:00:00,2014-06-20 16:15:00,"20,064.00",1235,2014-06-20 16:50:00
E55,Buckman New,(none),2014-06-20 08:00:00,2014-06-20 08:10:00,"5,559.20",376,2014-06-20 08:15:00
EC945019,Ecosse - Metsep,(none),2014-06-20 00:00:00,2014-06-20 00:06:00,"2,787.00",75,2014-06-20 00:10:00
EC945019,Ecosse - Metsep,(none),2014-06-20 09:06:00,2014-06-20 09:08:00,"2,787.00",75,2014-06-20 09:14:00
EC945019,Ecosse - Metsep,(none),2014-06-20 12:05:00,2014-06-20 12:08:00,"2,787.00",75,2014-06-20 12:12:00
EC945019,Ecosse - Metsep,(none),2014-06-20 15:05:00,2014-06-20 15:06:00,"2,787.00",75,2014-06-20 15:08:00
EC945020,Ecosse - Metsep,(none),2014-06-20 00:00:00,2014-06-20 00:05:00,"2,787.00",72,2014-06-20 00:08:00
EC945020,Ecosse - Metsep,(none),2014-06-20 09:05:00,2014-06-20 09:09:00,"2,787.00",72,2014-06-20 09:12:00
EC945021,Ecosse - Metsep,(none),2014-06-20 00:00:00,2014-06-20 00:06:00,"3,901.80",64,2014-06-20 00:09:00
EC945021,Ecosse - Metsep,(none),2014-06-20 09:06:00,2014-06-20 09:07:00,"3,901.80",64,2014-06-20 09:12:00
EC144038,NCP Chlorochem - Chlorine,(none),2014-06-20 06:00:00,2014-06-20 10:50:00,"14,527.30",696,2014-06-20 11:30:00
EC144020,Ecosse-Sasol Polymers,(none),2014-06-20 14:00:00,2014-06-20 13:35:00,"15,974.93",2055,2014-06-20 13:40:00
EC144026,Ecosse-Tradecorp Chemicals Trading (Pty) Ltd,(none),2014-06-20 20:00:00,2014-06-20 19:00:00,"10,214.70",685,2014-06-20 19:50:00
EC144027,Ecosse-Tradecorp Chemicals Trading (Pty) Ltd,(none),2014-06-20 14:00:00,2014-06-20 14:25:00,"10,221.08",688,2014-06-20 15:00:00
EC144035,Ecosse-Crest Chemicals (Pty) Ltd,(none),2014-06-22 06:00:00,2014-06-20 15:10:00,"22,604.77",1309,2014-06-20 16:40:00
EC144032,Ecosse-Marlyn Chemicals (Pty) Ltd,(none),2014-06-20 16:00:00,2014-06-20 16:30:00,"3,543.59",165,2014-06-20 18:00:00
EC144037,Ecosse-Marlyn Chemicals (Pty) Ltd,(none),2014-06-20 17:00:00,2014-06-20 17:15:00,"3,513.21",97,2014-06-20 18:25:00
D06,RE,(none),2014-06-20 06:00:00,2014-06-20 06:00:00,"3,851.95",345,2014-06-20 06:02:00
E77,NCP Chlorochem - Chlorine,(none),2014-06-20 07:00:00,2014-06-20 08:20:00,"4,202.11",64,2014-06-20 09:00:00
E78,NCP Chlorochem - Chlorine,(none),2014-06-19 19:00:00,2014-06-19 22:45:00,"4,228.67",52,2014-06-20 01:00:00
E78,NCP Chlorochem - Chlorine,(none),2014-06-20 22:00:00,2014-06-20 19:40:00,"4,228.67",87,2014-06-20 20:00:00
E81,NCP Chlorochem - Chlorine,(none),2014-06-21 10:00:00,2014-06-20 22:55:00,"5,963.69",138,2014-06-20 23:00:00
E82,NCP Chlorchem F&V,(none),2014-06-20 15:00:00,2014-06-20 15:35:00,"3,527.60",153,2014-06-20 16:06:00
E83,NCP Chlorochem - Chlorine,(none),2014-06-20 20:00:00,2014-06-20 19:00:00,"7,494.15",286,2014-06-20 20:00:00
E84,NCP Chlorochem - Chlorine,(none),2014-06-20 10:30:01,2014-06-20 10:40:00,"6,601.13",243,2014-06-20 11:40:00
E84,NCP Chlorochem - Chlorine,(none),2014-06-20 20:00:00,2014-06-20 18:40:00,"5,708.10",202,2014-06-20 19:00:00
E86,NCP Chlorochem - Chlorine,(none),2014-06-19 19:00:00,2014-06-20 09:35:00,"9,526.27",354,2014-06-20 10:00:00
E88,NCP Chlorochem - Chlorine,(none),2014-06-20 13:00:00,2014-06-20 15:25:00,"3,169.05",666,2014-06-20 16:00:00
E89,NCP Chlorochem - Chlorine,(none),2014-06-20 23:00:00,2014-06-20 22:35:00,"13,745.35",577,2014-06-20 23:00:00
E90,NCP Chlorochem - Chlorine,(none),2014-06-20 11:00:00,2014-06-20 05:25:00,"6,601.13",208,2014-06-20 05:50:00
E90,NCP Chlorochem - Chlorine,(none),2014-06-20 20:00:00,2014-06-20 00:20:00,"4,202.11",71,2014-06-20 00:30:00
E90,NCP Chlorochem - Chlorine,(none),2014-06-20 14:00:00,2014-06-20 14:30:00,"12,852.32",502,2014-06-20 14:55:00
TS1,NCP Chlorochem - Chlorine,Tanker Services,2014-06-20 08:00:00,(none),"4,495.27",100,(none)
TS2,NCP Chlorochem - Chlorine,Tanker Services,2014-06-20 08:00:00,(none),"3,169.05",50,(none)
TS10,NCP Chlorochem - Chlorine,Tanker Services,2014-06-20 08:00:00,(none),"24,596.29",1200,(none)
UB1,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 06:00:00,(none),"4,202.11",100,(none)
UB1,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 12:00:00,(none),"4,202.11",100,(none)
UB2,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 08:00:00,(none),"12,852.32",600,(none)
UB2,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 15:00:00,(none),"7,494.15",300,(none)
UB3,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 06:00:00,(none),"4,202.11",100,(none)
UB3,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 11:00:00,(none),"4,202.11",100,(none)
UB3,NCP Chlorochem - Chlorine,United Bulk,2014-06-20 15:00:00,(none),"7,494.15",300,(none)
E91,NCP Chlorochem - Chlorine,(none),2014-06-20 17:00:00,2014-06-20 17:00:00,"15,341.99",1159,2014-06-20 17:10:00
E92,NCP Chlorochem - Chlorine,(none),2014-06-19 22:00:00,2014-06-19 19:00:00,"4,228.67",48,2014-06-20 02:00:00
E92,NCP Chlorochem - Chlorine,(none),2014-06-20 09:00:00,2014-06-20 09:30:00,"4,228.67",45,2014-06-20 11:20:00
E92,NCP Chlorochem - Chlorine,(none),2014-06-20 17:00:00,2014-06-20 17:00:00,"2,404.41",70,2014-06-20 17:10:00
INF01,NCP Chlorochem - Chlorine,Infinite Transport,2014-06-19 19:00:00,2014-06-20 02:05:00,"5,370.48",30,2014-06-20 02:10:00
E29,NCP Chlorchem F&V,(none),2014-06-20 08:00:00,2014-06-20 07:55:00,"1,871.28",52,2014-06-20 11:10:00
E29,NCP Chlorchem F&V,(none),2014-06-20 14:00:00,2014-06-20 14:05:00,"3,079.70",194,2014-06-20 14:20:00
D06,RE,(none),(none),(none),"1,868.20",(none),2014-06-21 00:00:00
