Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
214,E & C Charcoal (PTY)LTD,(none),2014-10-29 15:00:00,(none),"11,020.22",525,(none),525
239,Idwala Sales & Distribution,(none),2014-10-29 16:00:00,(none),"12,484.56",650,(none),650
241,Pannar Seeds,(none),2014-10-29 10:00:00,(none),"13,296.38",467.0003,(none),467.0003
83,National Brands,(none),2014-10-29 17:00:00,(none),"16,728.00",672,(none),672
84,National Brands,(none),2014-10-29 12:00:00,(none),"16,728.00",672,(none),672
138,Pool Transport,(none),2014-10-27 13:00:00,2014-10-27 13:14:00,"22,780.00",1800,2014-10-29 15:00:00,1800
96,Illovo Sugar Speed Fleet Noodesburg,(none),2014-10-29 07:00:00,2014-10-29 06:40:00,"5,130.00",195,2014-10-29 06:50:00,195
96,Barloworld DTS,(none),2014-10-29 15:00:00,(none),"2,216.92",90,(none),90
141,Illovo Sugar Speed Fleet Noodesburg,(none),2014-10-29 03:00:00,2014-10-29 03:00:00,"2,273.16",100,2014-10-29 03:15:00,100
141,Illovo Sugar Speed Fleet Noodesburg,(none),2014-10-29 10:00:00,2014-10-29 09:20:00,"2,273.76",100,2014-10-29 09:45:00,100
104,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 12:00:00,(none),"4,882.75",(none),(none),(none)
142,Barloworld DTS,(none),2014-10-29 12:00:00,(none),"5,416.56",400,(none),400
145,Pannar Seeds,(none),2014-10-29 09:00:00,(none),"17,911.54",779,(none),779
106,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 12:00:00,(none),"5,097.35",(none),(none),(none)
108,Barloworld DTS,(none),2014-10-29 09:00:00,(none),"5,717.48",400,(none),400
107,Barloworld DTS,(none),2014-10-29 14:00:00,(none),"5,717.48",400,(none),400
119,National Brands,(none),2014-10-29 09:00:00,(none),"50,695.63",1858,(none),1858
264,Kempston Logistics East London,(none),2014-10-29 14:00:00,(none),"9,400.00",810,(none),810
265,Bulk Brick Supplies,(none),2014-10-29 18:00:00,(none),"3,324.19",362,(none),362
267,Sasko,(none),2014-10-29 15:00:00,(none),"5,551.00",350,(none),350
128,Barloworld DTS,(none),2014-10-29 10:00:00,2014-10-29 08:36:00,"2,216.92",84,2014-10-29 09:33:00,90
128,Barloworld DTS,(none),2014-10-29 14:00:00,(none),"2,216.92",90,(none),90
129,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 06:00:00,(none),"5,097.35",(none),(none),(none)
129,Langeberg and Ashton Foods Pty Ltd,(none),2014-10-29 13:00:00,(none),0.00,175,(none),175
129,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 18:00:00,(none),"8,817.04",(none),(none),(none)
131,Barloworld DTS,(none),2014-10-29 15:00:00,(none),"5,717.48",400,(none),400
132,Barloworld DTS,(none),2014-10-29 15:00:00,2014-10-29 10:37:00,"5,717.48",400,2014-10-29 11:00:00,400
133,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 16:00:00,(none),"8,584.56",(none),(none),(none)
134,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 18:00:00,(none),"8,817.04",(none),(none),(none)
244,Langeberg and Ashton Foods Pty Ltd F and V,(none),2014-10-29 12:00:00,(none),"5,097.35",(none),(none),(none)
245,Barloworld DTS,(none),2014-10-29 09:00:00,2014-10-29 06:41:00,"2,216.92",85,2014-10-29 07:32:00,90
245,Barloworld DTS,(none),2014-10-29 13:00:00,(none),"2,216.92",90,(none),90
299,Barloworld DTS,(none),2014-10-29 06:00:00,2014-10-29 05:47:00,"1,616.90",101,2014-10-29 06:29:00,100
299,Barloworld DTS,(none),2014-10-29 13:00:00,(none),"2,216.92",90,(none),90
303,Barloworld DTS,(none),2014-10-29 13:00:00,(none),"5,717.48",400,(none),400
304,National Brands,(none),2014-10-29 12:00:00,(none),"12,675.46",700,(none),700
43,National Brands,(none),2014-10-29 07:00:00,(none),"24,391.08",851,(none),851
38,National Brands,(none),2014-10-29 10:00:00,(none),"16,728.00",672,(none),672
50,National Brands,(none),2014-10-29 10:00:00,(none),"10,846.53",630,(none),630
51,Illovo Sugar Speed Fleet Noodesburg,(none),2014-10-29 07:00:00,2014-10-29 06:45:00,"2,273.76",100,2014-10-29 07:30:00,100
51,Barloworld DTS,(none),2014-10-29 13:00:00,(none),"2,216.92",90,(none),90
52,National Brands,(none),2014-10-29 16:00:00,(none),"10,846.53",630,(none),630
53,Barloworld Logistics  (Illovo),(none),2014-10-29 11:00:00,2014-10-29 11:14:00,"3,828.88",86,2014-10-29 11:33:00,86
61,Barloworld Logistics  (Illovo),(none),2014-10-29 10:00:00,2014-10-29 10:12:00,"3,828.88",86,2014-10-29 10:29:00,86
61,Barloworld Logistics  (Illovo),(none),2014-10-29 20:00:00,(none),"3,828.88",160,(none),160
62,National Brands,(none),2014-10-29 12:00:00,(none),"16,728.00",672,(none),672
150,National Brands,(none),2014-10-29 16:00:00,(none),"10,846.53",630,(none),630
9,National Brands,(none),2014-10-29 15:00:00,(none),"10,846.53",630,(none),630
152,Barloworld Logistics  (Illovo),(none),2014-10-29 11:00:00,2014-10-29 11:03:00,"3,828.88",160,2014-10-29 11:10:00,160
152,Barloworld Logistics  (Illovo),(none),2014-10-29 20:00:00,(none),"3,828.88",86,(none),86
12,National Brands,(none),2014-10-29 12:00:00,2014-10-29 11:20:00,"10,846.53",700,2014-10-29 11:37:00,700
7,National Brands,(none),2014-10-29 13:00:00,(none),"10,846.53",700,(none),700
158,National Brands,(none),2014-10-29 15:00:00,(none),"10,846.53",700,(none),700
157,National Brands,(none),2014-10-29 11:00:00,(none),"10,846.53",630,(none),630
160,National Brands,(none),2014-10-29 14:00:00,(none),"12,675.46",700,(none),700
153,National Brands,(none),2014-10-29 15:00:00,(none),"10,846.53",630,(none),630
155,National Brands,(none),2014-10-29 12:00:00,(none),"10,846.53",670,(none),670
159,National Brands,(none),2014-10-29 09:00:00,(none),"10,846.53",630,(none),630
334,Bulk Brick Supplies,(none),2014-10-29 17:00:00,(none),"5,290.52",362,(none),362
168,Barloworld Engen,(none),2014-10-29 10:00:00,(none),"4,552.87",200,(none),200
332,Pannar Seeds,(none),2014-10-29 10:00:00,(none),"17,911.54",779,(none),779
337,Sasko,(none),2014-10-29 15:00:00,(none),"5,551.00",350,(none),350
338,Metal Corp Trading AG USD,(none),2014-10-29 06:00:00,(none),"51,750.00",2780,(none),2780
339,Metal Corp Trading AG USD,(none),2014-10-29 11:00:00,(none),"51,750.00",2780,(none),2780
340,Metal Corp Trading AG USD,(none),2014-10-29 06:00:00,(none),"51,750.00",2780,(none),2780
341,Metal Corp Trading AG USD,(none),2014-10-29 06:00:00,(none),"51,750.00",2780,(none),2780
329,Kempston Logistics East London,(none),2014-10-29 13:00:00,(none),"10,500.00",1052,(none),1052
344,Sasko,(none),2014-10-29 03:00:00,2014-10-28 23:00:00,"5,968.62",243,2014-10-29 02:00:00,240
365,Kempston Logistics East London,(none),2014-10-29 15:00:00,(none),"13,250.00",1105,(none),1105
DM7,National Brands,(none),2014-10-29 15:00:00,(none),"10,846.53",630,(none),630
330,E & C Charcoal (PTY)LTD,(none),2014-10-29 18:00:00,(none),"12,489.58",587.5003,(none),587.5003
122,Sasko,(none),2014-10-29 15:00:00,(none),"17,119.00",780,(none),780
38,GP Grain CC,(none),2014-10-29 03:00:00,(none),"4,850.00",300,(none),300
248,Evergreen Timbers,(none),2014-10-29 08:00:00,(none),"11,107.72",610,(none),610
95,Gromor Pty Ltd,(none),2014-10-29 07:00:00,(none),"17,340.00",603,(none),603
127,Sasko,(none),2014-10-29 16:00:00,(none),"17,117.00",610,(none),610
138,Sasko,(none),2014-10-29 17:00:00,(none),"9,301.00",525,(none),525
243,Pannar Seeds,(none),2014-10-29 07:00:00,(none),"9,971.18",299.1002,(none),299.1002
77,Gromor Pty Ltd,(none),2014-10-29 10:00:00,(none),"10,785.27",740,(none),740
123,Comtecs Composites,(none),2014-10-29 17:00:00,(none),"14,403.76",776.6,(none),776.6
243,Monteagle Africa Limited,(none),2014-10-29 18:00:00,(none),"7,203.48",103.7,(none),103.7
262,Monteagle Africa Limited,(none),2014-10-29 15:00:00,(none),"7,203.48",103.7,(none),103.7
161,Monteagle Africa Limited,(none),2014-10-29 18:00:00,(none),"7,203.48",103.7,(none),103.7
124,Monteagle Africa Limited,(none),2014-10-29 17:00:00,(none),"6,395.20",91.8,(none),91.8
88,Sasko,(none),2014-10-29 15:00:00,(none),"18,799.00",1210,(none),1210
76,Sasko,(none),2014-10-29 16:00:00,(none),"14,149.00",780,(none),780
98,Sasko,(none),2014-10-29 15:00:00,(none),"13,852.00",745,(none),745
215,Sasko,(none),2014-10-29 17:00:00,(none),"7,173.00",325,(none),325
114,Sasko,(none),2014-10-29 17:00:00,(none),"6,362.00",295,(none),295
49,Bridge Shipping  SA (ZAR),(none),2014-10-29 10:00:00,(none),"11,200.00",660,(none),660
335,Barloworld Engen,(none),2014-10-29 10:00:00,(none),"7,191.36",200,(none),200
53,Continental Compounders Pty Ltd,(none),2014-10-29 15:00:00,(none),"11,919.19",700,(none),700
147,Continental Compounders Pty Ltd,(none),2014-10-29 16:00:00,(none),"11,919.19",700,(none),700
246,Pannar Seeds,(none),2014-10-29 10:00:00,(none),"8,097.10",249.6002,(none),249.6002
112,Pannar Seeds,(none),2014-10-29 15:00:00,(none),"8,097.10",249.6002,(none),249.6002
103,Pannar Seeds,(none),2014-10-29 14:00:00,(none),"8,097.10",249.6002,(none),249.6002
