Truck,Date,Income,Contribution,Kms,Blackout Status
4,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E77,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E81,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E82,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E83,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E84,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E86,2015-02-23,"R8,594.21","R1,087.44",356,No
E87,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E88,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E89,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E90,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E92,2015-02-23,"R8,594.21","R1,087.44",356,No
E96,2015-02-23,"R8,594.21","R1,087.44",356,Yes
E97,2015-02-23,"R8,594.21","R1,087.44",356,Yes
