Truck,Date,Income,Contribution,Kms,Blackout Status
T021,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T023,2015-03-31,"R9,289.67","R1,672.14",462,Yes
T024,2015-03-31,"R9,289.67","R1,672.14",462,Yes
T037,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T038,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T039,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T040,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T041,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T042,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T047,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T048,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T049,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T051,2015-03-31,"R8,972.19","R1,614.99",497,Yes
T052,2015-03-31,"R8,972.19","R1,614.99",497,Yes
T053,2015-03-31,"R8,972.19","R1,614.99",497,Yes
T055,2015-03-31,"R8,972.19","R1,614.99",497,Yes
T057,2015-03-31,"R8,972.19","R1,614.99",497,Yes
T105,2015-03-31,"R7,183.03","R1,292.95",656,Yes
T111,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T112,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T113,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T114,2015-03-31,"R8,377.41","R1,507.93",519,Yes
T116,2015-03-31,"R9,668.08","R1,740.26",596,Yes
T128,2015-03-31,"R4,567.65",R822.18,417,Yes
T129,2015-03-31,"R7,525.06","R1,354.51",417,No
T132,2015-03-31,"R7,525.06","R1,354.51",417,Yes
T133,2015-03-31,"R7,525.06","R1,354.51",417,Yes
T134,2015-03-31,"R7,257.86","R1,306.41",656,Yes
T135,2015-03-31,"R7,257.86","R1,306.41",656,Yes
