Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
E101,21017,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,No
E102,21015,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E103,30068,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E104,30069,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E105,30070,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E106,30111,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,No
E107,30062,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E108,30110,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E109,30108,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,No
E110,30107,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E111,30109,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E112,30167,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E151,30931,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E152,"",Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E154,30932,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E156,30933,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,No
E157,30934,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E161,30481,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E30,1381,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E67,1254,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E68,1262,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E69,1263,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E70,1264,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E71,1265,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E72,1266,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E73,1267,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E74,1268,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E75,1269,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
E76,1270,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,No
E93,30004,Energy - Total Sishen Fleet,202,2015-08-16,"R7,895.16","R2,657.34",403,Yes
