Truck,Registration,FM,Skytrack
1,NP77277,48,""
10,NP 61748,33,00240858VTIB67F
100,TBA,344,""
101,TBA,345,""
102,NP102427,346,""
103,NP102550,347,""
104,NP151699,1174,00132969VTI374A
105,NP146812,1175,00139794VTIE097
105 OLD,NP40235,194,""
106,NP149971,1176,00240506VTI2F9F
106 OLD,NP156049,195,""
107,tba,1202,00241279VTID2B8
107 old,NP29255,227,""
108,tba,1182,00240586VTI712F
108 OLD,NP29074,225,""
109,NP140657,312,""
11,NP164976,1039,00137485VTI1F7E
110,NP103821,348,""
110 OLD,NP91977,184,""
111,NP180897,1218,""
112,NP96546,349,""
112 OLD,NP51013,186,""
113,NP128988,1065,00135891VTI185C
114,NP97317,350,""
115,NP98298,351,""
116,tba,1180,00240510VTI3FB3
117,tba,1181,00240503VTIA390
118,NP57568,201,""
119,tba,1188,00240542VTIC053
120,tba,1189,00240585VTIED2A
121,tba,1190,00240553VTI6C8A
122,tba,1195,""
123,tba,1194,""
124,tba,1203,""
125,tba,1216,00241139VTI9FFC
126,TBA,1219,00241134VTI0BE3
127,tba,1230,""
128,tba,1231,""
129,NP33961,1228,00241225VTIF9AA
130,NP 64830,1080,00137659VTIDAE4
131,NP27180,1229,00241238VTIADEB
132,NP26757,1227,00241305VTI3B3A
133,NP11744,1225,00137999VTI3188
134,tba,1226,00132959VTI0F18
135,TBA,1234,00132614VTI245B
136,tba,1232,00139448VTI71D5
137,tba,1138,00139744VTI179D
138,tba,1139,00139709VTI0AEE
139,tba,1142,""
14,NP170806,11,00240586VTI712F
140,tba,1140,""
141,tba,1141,00138282VTI230F
142,tba,1177,00240594VTI9157
143,tba,1173,00240591VTI0548
144,tba,1172,00240499VTI937C
145,tba,1171,00240286VTIBB53
146,NP153940,1170,00240592VTI894D
147,NP 79136,1083,""
148,NP 79092,1084,""
149,NP 79134,1085,""
15,NP 61284,1038,00134805VTI0B26
150,NP 78561,1086,""
151,NP 159724,6,""
152,NP 57479,2,""
153,NP 57534,3,""
154,NP 102636,7,""
155,NP 24115,8,""
156,NP 102382,4,00139919VTI5708
157,NP 159661,9,""
158,NP 25708,5,""
159,NP 113244,12,""
16,NP 164 977,1041,00135887VTI0848
160,NP 159662,15,""
161,NP 105235,16,""
162,NP151 093,18,""
163,NP 156851,23,""
164,NP 152625,24,""
165,NP 152152,27,""
166,NP 59991,29,""
167,NP 151166,31,""
168,NP 27737,32,""
169,NP 152 866,1051,00134267VTI98A4
17,NP170818,1,00132945VTID6D2
170,NP 149 895,1050,00241482VTI82AF
171,NP 165 082,1047,00241605VTIF116
172,NP 58723P,1048,00132608VTI0C3D
173,NP 165 084,1049,00242072VTIC635
174,NP 153 933,1052,00241430VTIB1AB
175,NP 149 647,1043,00139725VTI4B3E
176,NP 146 242,1044,00139727VTI5348
177,NP 146 034,1045,00242097VTIAAB2
178,NP 57855,1046,00032031VTI5BD8
179,NP 162591,1066,00135302VTI58DB
18,NP29577,13,00241582VTI14A3
180,NP 71124,1068,00030446VTIF8E3
181,NP 160682,1069,00242119VTI0320
182,NP 160877,1070,00241717VTIB346
183,NP 77063,1067,00134259VTI787C
184,NP 42421,1076,00241325VTI8B9E
185,NP 44024,1072,00134270VTI24B3
186,NP 44505,1073,00241487VTI16C8
187,NP 46413,1074,00241438VTID1D3
188,NP 45573,1075,00242035VTIB17C
189,NP 41599,1077,00242091VTI9294
19,NP170817,1081,00240506VTI2F9F
190,NP 166679,1091,00241447VTI7600
191,NP 166674,1094,00132970VTIBB4F
192,NP 166675,1093,00241615VTI1948
193,NP 166676,1095,00133517VTID1FE
194,NP 166664,1087,00242108VTI56E9
195,NP 166667,1088,00241576VTIFC85
196,NP 166665,1089,00241622VTIB56B
197,NP 166677,1090,00136607VTI5658
198,NP 166678,1092,00137580VTI1D59
199,NP 166279,1107,00138392VTIDD35
2,NP112945,34,""
20,NP170797,263,00240554VTIF08F
200,NP 165655,1113,00138416VTI3DAD
201,NP 166280,1106,00138427VTIE9E4
202,NP 160096,1108,00138398VTIF553
203,NP 166278,1104,00138441VTI222A
204,NP 158773,1111,00138454VTID66B
205,NP 157864,1112,00138396VTIED49
206,NP 161507,1105,00138451VTI4A5C
207,NP 162707,1103,00134822VTICF7B
208,NP 157753,1110,00138420VTI4DC1
209,NP 62508,1079,00139546VTIFBBF
21,NP170799,14,""
210,NP 69430,1078,00135871VTIC7F8
211,NP67199,273,""
212,NP143918,315,""
213,NP98880,352,""
214,NP92642,379,""
215,NP132434,376,""
216,NP148020,354,""
217,NP141963,355,""
218,NP152268,356,""
219,NP149888,357,""
22,NP170805,264,00132967VTI2F40
220,NP146303,358,""
221,NP147649,359,""
222,NP169638,361,""
223,NP169674,362,""
224,NP169499,363,""
225,NP169637,364,""
226,NP169500,365,""
227,NP169491,366,""
228,NP64937,367,""
229,NP57271,368,""
