Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
234058,187108,43,2011-07-30 07:00:00,2011-08-01 12:25:00,2011-08-05 10:00:00,2011-08-06 19:30:00,53,34,88,26 July,Jacques Redgard,Tradewind Logistics
234059,185788,46,2011-07-29 14:00:00,2011-08-02 12:06:00,2011-08-05 14:00:00,2011-08-07 13:53:00,94,48,71,26 July,Jacques Redgard,Tradewind Logistics
234060,186500,47,2011-07-29 14:00:00,2011-08-01 12:40:00,2011-08-05 14:00:00,2011-08-07 13:50:00,71,48,71,26 July,Jacques Redgard,Tradewind Logistics
234062,189677,54,2011-07-29 15:00:00,2011-08-01 12:18:00,2011-08-05 14:00:00,2011-08-07 17:00:00,69,51,72,26 July,Jacques Redgard,Tradewind Logistics
234064,189562,57,2011-07-29 14:00:00,2011-08-01 12:50:00,2011-08-05 14:00:00,2011-08-27 09:30:00,71,524,72,26 July,Jacques Redgard,Tradewind Logistics
234065,185733,60,2011-07-29 14:00:00,2011-08-01 12:46:00,2011-08-05 14:00:00,2011-08-07 15:30:00,71,50,72,26 July,Jacques Redgard,Tradewind Logistics
234067,173890.,61,2011-07-29 14:00:00,2011-08-01 12:30:00,2011-08-05 14:00:00,2011-08-10 07:11:00,71,113,72,26 July,Jacques Redgard,Tradewind Logistics
234422,F3449,E44,2011-07-31 12:00:00,2011-08-02 12:47:00,2011-08-01 12:00:00,2011-08-04 11:07:00,49,71,49,29 July,Cameron Singh,Total SA
234426,F11320,E45,2011-07-30 12:00:00,2011-08-01 08:00:00,2011-07-31 12:00:00,2011-08-03 06:00:00,44,66,25,29 July,Cameron Singh,Engen
234428,F3796,E46,2011-07-30 12:00:00,2011-08-01 06:55:00,2011-07-31 12:00:00,2011-08-02 18:30:00,43,55,25,29 July,Cameron Singh,Engen
234480,180805,200,2011-07-31 16:00:00,2011-08-01 14:25:00,2011-08-06 12:00:00,2011-08-07 18:45:00,22,31,51,29 July,Zac Bolton,Tradewind Logistics
234523,F7631,E39,2011-07-31 13:00:00,2011-08-02 12:55:00,2011-08-01 12:00:00,2011-08-03 15:15:00,48,51,45,29 July,Cameron Singh,Engen
234526,F10689,E42,2011-07-31 14:00:00,2011-08-01 13:50:00,2011-08-01 15:00:00,2011-08-02 17:50:00,24,27,46,29 July,Cameron Singh,Engen
234527,F10703,E43,2011-07-31 14:00:00,2011-08-01 08:15:00,2011-08-01 12:00:00,2011-08-02 09:00:00,18,21,46,29 July,Cameron Singh,Engen
234531,F3437,E48,2011-07-31 15:00:00,2011-08-02 13:10:00,2011-08-01 13:00:00,2011-08-03 16:15:00,46,51,47,29 July,Cameron Singh,Engen
234532,F11326,E50,2011-07-31 13:00:00,2011-08-01 13:28:00,2011-08-01 12:00:00,2011-08-02 13:55:00,24,26,46,29 July,Cameron Singh,Engen
234538,F10696,E51,2011-07-31 15:00:00,2011-08-01 13:00:00,2011-08-01 15:00:00,2011-08-02 13:55:00,22,23,48,29 July,Cameron Singh,Engen
234546,F3535,E01,2011-07-31 20:00:00,2011-08-01 10:00:00,2011-08-01 09:00:00,2011-08-02 09:10:00,14,24,53,29 July,Cameron Singh,Engen
234609,187828,80,2011-07-30 20:00:00,2011-08-01 09:50:00,2011-07-31 08:00:00,2011-08-01 14:50:00,38,31,9,30 July,Melanie Wilson,Omnia Fertiliser
234673,192693,179,2011-07-31 22:00:00,2011-08-01 06:00:00,2011-08-01 02:00:00,2011-08-01 07:38:00,8,6,0,31 July,Elsworth Nduli,Illovo Sugar Speed Fleet Noodesburg
234633,192688,182,2011-07-30 23:00:00,2011-08-01 00:09:00,2011-07-31 03:00:00,2011-08-01 03:11:00,25,24,0,31 July,Elsworth Nduli,Illovo Sugar Speed Fleet Noodesburg
234633,192688,182,2011-07-30 23:00:00,2011-08-01 03:36:00,2011-07-31 03:00:00,2011-08-01 05:38:00,29,27,0,31 July,Elsworth Nduli,Illovo Sugar Speed Fleet Noodesburg
234674,192690,187,2011-08-01 00:00:00,2011-08-01 05:00:00,2011-08-01 03:30:00,2011-08-01 06:08:00,5,3,3,31 July,Elsworth Nduli,Illovo Sugar Speed Fleet Noodesburg
234675,192519,180,2011-08-01 06:00:00,2011-08-01 06:22:00,2011-08-01 09:00:00,2011-08-01 11:33:00,0,3,1,1 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
234676,192686,189,2011-08-01 01:00:00,2011-08-01 01:20:00,2011-08-01 04:00:00,2011-08-01 04:00:00,0,0,2,1 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
234677,192521,181,2011-08-01 06:00:00,2011-08-01 06:00:00,2011-08-01 10:00:00,2011-08-01 10:18:00,0,0,1,1 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
