Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
145001,Meadow Feeds-Standerton F & V,"",2015-08-08 11:45:00,2015-08-08 12:00:00,"2,835.66",137,2015-08-08 12:15:00,0
145001,Meadow Feeds-Standerton F & V,"",2015-08-08 18:15:00,2015-08-08 18:30:00,"1,909.06",55,2015-08-08 18:45:00,0
145001,Meadow Feeds-Standerton F & V,"",2015-08-08 03:00:00,2015-08-08 03:15:00,"2,677.46",123,2015-08-08 03:30:00,0
145003,Meadow Feeds-Standerton F & V,"",2015-08-08 16:00:00,2015-08-08 16:15:00,"1,558.76",24,2015-08-08 16:30:00,0
145003,Meadow Feeds-Standerton F & V,"",2015-08-08 12:45:00,2015-08-08 13:00:00,"1,547.46",23,2015-08-08 13:15:00,0
145003,Meadow Feeds-Standerton F & V,"",2015-08-08 20:30:00,2015-08-08 20:45:00,"3,648.62",95,2015-08-08 21:00:00,0
145004,Meadow Feeds-Standerton F & V,"",2015-08-08 14:00:00,2015-08-08 14:15:00,"3,491.06",195,2015-08-08 14:30:00,0
145004,Meadow Feeds-Standerton F & V,"",2015-08-08 07:45:00,2015-08-08 08:00:00,"1,784.76",44,2015-08-08 08:15:00,0
145004,Meadow Feeds-Standerton F & V,"",2015-08-08 22:45:00,2015-08-08 23:00:00,"2,573.52",49,2015-08-08 23:15:00,0
145004,Meadow Feeds-Standerton F & V,"",2015-08-08 22:45:00,2015-08-08 23:00:00,"2,909.19",26,2015-08-08 23:15:00,0
145005,Meadow Feeds-Standerton F & V,"",2015-08-08 12:15:00,2015-08-08 12:30:00,"3,569.94",164,2015-08-08 12:45:00,0
145005,Meadow Feeds-Standerton F & V,"",2015-08-08 02:30:00,2015-08-08 02:45:00,"3,151.84",127,2015-08-08 03:00:00,0
145005,Meadow Feeds-Standerton F & V,"",2015-08-08 21:00:00,2015-08-08 21:15:00,"4,292.29",76,2015-08-08 21:30:00,0
145006,Meadow Feeds-Standerton F & V,"",2015-08-08 15:00:00,2015-08-08 15:15:00,"2,677.46",123,2015-08-08 15:30:00,0
145006,Meadow Feeds-Standerton F & V,"",2015-08-08 11:00:00,2015-08-08 11:15:00,"1,728.26",39,2015-08-08 11:30:00,0
145006,Meadow Feeds-Standerton F & V,"",2015-08-08 20:30:00,2015-08-08 20:45:00,"5,320.37",129,2015-08-08 21:00:00,0
145007,Meadow Feeds-Standerton F & V,"",2015-08-08 11:00:00,2015-08-08 11:15:00,"4,055.84",207,2015-08-08 11:30:00,0
145007,Meadow Feeds-Standerton F & V,"",2015-08-08 06:45:00,2015-08-08 07:00:00,"2,338.24",55,2015-08-08 07:15:00,0
145007,Meadow Feeds-Standerton F & V,"",2015-08-08 21:30:00,2015-08-08 21:45:00,"6,744.39",293,2015-08-08 22:00:00,0
545248,Meadow Feeds-Standerton F & V,"",2015-08-08 23:30:00,2015-08-08 23:45:00,"2,835.66",137,2015-08-09 00:00:00,0
545248,Meadow Feeds-Standerton F & V,"",2015-08-08 12:00:00,2015-08-08 12:15:00,"3,547.34",162,2015-08-08 12:30:00,0
545248,Meadow Feeds-Standerton F & V,"",2015-08-08 07:15:00,2015-08-08 07:30:00,"1,931.44",19,2015-08-08 07:45:00,0
545245,Meadow Feeds-Standerton F & V,"",2015-08-08 16:45:00,2015-08-08 17:00:00,"5,321.44",319,2015-08-08 17:15:00,0
545245,Meadow Feeds-Standerton F & V,"",2015-08-08 11:45:00,2015-08-08 12:00:00,"2,123.54",36,2015-08-08 12:15:00,0
545245,Meadow Feeds-Standerton F & V,"",2015-08-08 03:45:00,2015-08-08 04:00:00,"1,976.64",23,2015-08-08 04:15:00,0
545247,Meadow Feeds-Standerton F & V,"",2015-08-08 12:00:00,2015-08-08 12:15:00,"6,022.04",381,2015-08-08 12:30:00,0
545247,Meadow Feeds-Standerton F & V,"",2015-08-08 01:15:00,2015-08-08 01:30:00,"2,010.54",26,2015-08-08 01:45:00,0
545247,Meadow Feeds-Standerton F & V,"",2015-08-08 22:00:00,2015-08-08 22:15:00,"4,292.29",76,2015-08-08 22:30:00,0
541002,Meadow Feeds-Standerton F & V,"",2015-08-08 19:00:00,2015-08-08 19:15:00,"4,709.96",37,2015-08-08 19:30:00,0
541002,Meadow Feeds-Standerton F & V,"",2015-08-08 11:00:00,2015-08-08 11:15:00,"2,948.02",33,2015-08-08 11:30:00,0
145002,Meadow Feeds-Standerton F & V,"",(none),(none),"5,150.23",0,2015-08-08 00:00:00,0
