Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
545220,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:12:00,"3,468.24",103,2015-08-03 02:19:00,52
545220,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:09:00,"2,325.16",35,2015-08-03 12:20:00,13
545220,PPC-Hercules F & V,"",2015-08-03 17:00:00,2015-08-03 17:00:00,"3,199.28",87,2015-08-03 17:03:00,35
T12037,PPC-Hercules F & V,"",2015-08-03 05:00:00,2015-08-03 05:10:00,"5,408.67",203,2015-08-03 05:20:00,16
T12037,PPC-Hercules F & V,"",2015-08-03 10:00:00,2015-08-03 10:10:00,"3,983.63",82,2015-08-03 10:19:00,52
T12051,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:00:00,"5,447.04",206,2015-08-03 02:08:00,16
T12051,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:11:00,"5,459.83",207,2015-08-03 12:21:00,16
T12063,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:11:00,"14,718.30",711,2015-08-03 02:20:00,319
T12136,PPC-Hercules F & V,"",2015-08-03 02:00:00,2015-08-03 02:09:00,"3,243.99",38,2015-08-03 02:22:00,24.8
T12136,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:12:00,"4,959.06",208,2015-08-03 12:21:00,16
T2912,PPC-Hercules F & V,"",2015-08-03 06:00:00,2015-08-03 06:00:00,"4,257.57",229,2015-08-03 06:09:00,113
T2912,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:08:00,"3,479.33",87,2015-08-03 12:20:00,52
T2962,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:10:00,"3,865.96",75,2015-08-03 01:21:00,35
T2962,PPC-Hercules F & V,"",2015-08-03 10:00:00,2015-08-03 10:13:00,"3,882.77",76,2015-08-03 10:21:00,30
T2974,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:10:00,"4,773.70",129,2015-08-03 01:19:00,0
T2974,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:13:00,"4,000.44",83,2015-08-03 12:20:00,61.7
T2986,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:10:00,"5,421.46",204,2015-08-03 01:19:00,16
T2986,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:00:00,"5,702.84",226,2015-08-03 12:03:00,113
T2998,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:09:00,"3,485.05",104,2015-08-03 01:22:00,54
T2998,PPC-Hercules F & V,"",2015-08-03 10:00:00,2015-08-03 10:11:00,"2,325.16",35,2015-08-03 10:20:00,13
T2998,PPC-Hercules F & V,"",2015-08-03 14:00:00,2015-08-03 14:12:00,"2,089.82",21,2015-08-03 14:28:00,10
T3001,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:09:00,"5,523.78",212,2015-08-03 01:21:00,16
T3001,PPC-Hercules F & V,"",2015-08-03 12:00:00,2015-08-03 12:11:00,"5,421.46",204,2015-08-03 12:19:00,16
D619,PPC-Hercules F & V,"",2015-08-03 04:00:00,2015-08-03 04:09:00,"10,925.83",340,2015-08-03 04:20:00,340
545229,PPC-Hercules F & V,"",2015-08-03 01:00:00,2015-08-03 01:09:00,"6,740.14",91,2015-08-03 01:19:00,35
E40,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-03 00:00:00,0
T12087,PPC-Hercules F & V,"",(none),(none),"5,624.61",0,2015-08-03 00:00:00,0
T2900,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-03 00:00:00,0
545230,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-03 00:00:00,0
545225,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-03 00:00:00,0
545233,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-03 00:00:00,0
T12087,PPC-Hercules F & V,"",(none),(none),"5,624.61",0,2015-08-04 00:00:00,0
E40,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-04 00:00:00,0
T2900,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-04 00:00:00,0
545225,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-04 00:00:00,0
545230,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-04 00:00:00,0
545233,PPC-Hercules F & V,"",(none),(none),"5,210.43",0,2015-08-04 00:00:00,0
