Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
M057,404422,49400.00,48801.00,599.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M069,404841,4233.00,4233.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M075,405004,4289.00,4325.00,-36.00
"","","","",""
M061,405036,33105.00,33105.00,0.00
M073,405050,2942.00,2942.00,0.00
"","","","",""
"","","","",""
M041,405083,68768.00,69252.00,-484.00
M058,405086,71908.00,72440.00,-532.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M073,405280,2345.00,2320.00,25.00
"","","","",""
"","","","",""
M051,405475,69955.00,71101.00,-1146.00
M064,405484,42513.00,42452.00,61.00
M046,405641,63535.00,64503.00,-968.00
"","","","",""
"","","","",""
"","","","",""
M067,405682,22693.00,22693.00,0.00
"","","","",""
"","","","",""
"","","","",""
M065,405907,48992.00,48992.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M076,405992,3014.00,3014.00,0.00
"","","","",""
"","","","",""
M063,406099,45373.00,46032.00,-659.00
"","","","",""
"","","","",""
"","","","",""
M070,406181,4319.00,4319.00,0.00
M040,406258,74497.00,75016.00,-519.00
M046,406280,64503.00,64503.00,0.00
M045,406312,84779.00,84779.00,0.00
"","","","",""
M049,406356,74285.00,74285.00,0.00
M062,406359,39896.00,39896.00,0.00
M041,406401,69698.00,69689.00,9.00
M050,406403,83817.00,83828.00,-11.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M053,406457,76885.00,76885.00,0.00
M067,406459,23272.00,23272.00,0.00
M060,406460,52165.00,52165.00,0.00
"","","","",""
"","","","",""
"","","","",""
M044,406555,86112.00,86804.00,-692.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M037,406663,124251.00,124202.00,49.00
"","","","",""
"","","","",""
"","","","",""
M032,406716,72201.00,72431.00,-230.00
M033,406718,75773.00,76006.00,-233.00
"","","","",""
M055,406840,79715.00,79715.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M024,406941,288182.00,288782.00,-600.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M043,407097,67424.00,67472.00,-48.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M074,407282,7942.00,10135.00,-2193.00
"","","","",""
M072,407417,4308.00,4310.00,-2.00
"","","","",""
M040,407572,76047.00,76047.00,0.00
"","","","",""
M063,407583,46499.00,46499.00,0.00
"","","","",""
"","","","",""
"","","","",""
M075,407878,5380.00,4969.00,411.00
M054,407883,60245.00,60245.00,0.00
"","","","",""
M064,407998,43934.00,43934.00,0.00
"","","","",""
M039,408101,51254.00,51800.00,-546.00
M042,408116,87634.00,88382.00,-748.00
"","","","",""
M073,408171,3376.00,3375.00,1.00
"","","","",""
M065,408198,49599.00,50129.00,-530.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M037,408376,125185.00,125185.00,0.00
"","","","",""
"","","","",""
M055,408503,80382.00,80876.00,-494.00
M036,408534,94181.00,93945.00,236.00
M077,408536,6767.00,6767.00,0.00
M057,408577,53702.00,54838.00,-1136.00
"","","","",""
"","","","",""
M074,408615,8692.00,10135.00,-1443.00
"","","","",""
"","","","",""
M045,408669,86032.00,87638.00,-1606.00
"","","","",""
"","","","",""
M040,408832,76722.00,76722.00,0.00
M076,408855,4192.00,5347.00,-1155.00
M066,408857,47622.00,48782.00,-1160.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M046,408909,65930.00,66105.00,-175.00
"","","","",""
M068,408949,27340.00,27340.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M036,409427,95196.00,94778.00,418.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M056,409714,71840.00,71938.00,-98.00
"","","","",""
"","","","",""
"","","","",""
M039,409826,52368.00,52368.00,0.00
M075,409827,4934.00,4969.00,-35.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M052,409998,64382.00,64683.00,-301.00
"","","","",""
M053,410005,78302.00,78589.00,-287.00
"","","","",""
"","","","",""
"","","","",""
M031,410066,76761.00,76761.00,0.00
M071,410124,4001.00,4001.00,0.00
"","","","",""
"","","","",""
"","","","",""
M060,410487,53317.00,53940.00,-623.00
"","","","",""
"","","","",""
"","","","",""
M044,411076,89064.00,89638.00,-574.00
"","","","",""
M072,411085,6630.00,7201.00,-571.00
M057,411086,55933.00,57860.00,-1927.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M058,411178,75293.00,75874.00,-581.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M049,411310,77725.00,78884.00,-1159.00
"","","","",""
"","","","",""
