Fleetid,Fleet,Customer,From Point,To Point,Loading Arrival,Offloading Arrival
"","",Gromor Pty Ltd,Gromor (Cato Ridge),Lifestyle Centre (Honeydew),2015-02-23 00:00:00,2015-02-24 00:00:00
"","",Monteagle Africa Limited,AVI (Waterfall),Spar South (Jetpark),2015-02-23 00:00:00,2015-02-24 00:00:00
"","",Gourmet Pet Industries,Gourmet Pet (Cato Ridge),Shoprite (Cape Town),2015-02-23 00:00:00,2015-02-25 00:00:00
"","",Monteagle Africa Limited,AVI (Waterfall),Manline Warehouse New (Germiston),2015-02-23 00:00:00,2015-02-24 00:00:00
"","","","","","",""
"","",E & C Charcoal (PTY)LTD,E&C Charcoal (Dalton),CBI Electrical African Cables (Vereeniging),2015-02-23 00:00:00,2015-02-24 00:00:00
"","","","","","",""
"","",Barloworld Engen,ICS (Prospecton),ICS (Johannesburg),2015-02-23 00:00:00,2015-02-24 00:00:00
"","",Insimbi Alloy Supplies Pty Ltd,Insimbi Alloy Supplies (DBN),Insimbi Alloys (Wadeville),2015-02-23 00:00:00,2015-02-24 00:00:00
"","",Insimbi Alloy Supplies Pty Ltd,Insimbi Alloy Supplies (DBN),Insimbi Alloys (Wadeville),2015-02-23 00:00:00,2015-02-24 00:00:00
"","",Insimbi Alloy Supplies Pty Ltd,Insimbi Alloy Supplies (DBN),Hillside Aluminium (Richards Bay),2015-02-23 00:00:00,2015-02-24 00:00:00
