Fleet,Trucks
WA Vervoer,"FHK898NW,HRJ273NW,HWW976NW"
FTS,"RNR744GP,FTS03,RNR749GP,FTS05,FTS01,FTS04,FTS02"
JMMJ,"HXP096NW,HZL232NW,HSR651NW"
PA Stemmet,"ZPR303GP,BC08WSGP,BL95NYGP,CH21GVGP,BC08WWGP,ZDJ068GP,TRM658GP,ELN871GP,XXB142GP,BR67MNGP"
WILLOWTON,"NP91833,NP91035,CR43HTGP,NP36519,NP26045,NP180393,NP100222,NP135771,BH39RCGP"
PHUMAPHAMBILI,"NDH4691,NDH4653,NDH3576,NDH242,Phumaphambili 001,NDH4200NP,NDH4198,NDH4668,NDH2872,PHU01,Phumaphambili 002,NDH2424NP,NDH4706,NDH3550,NDH3552,PHU02,Phumaphambili 003,NDH24198,NDH4717,BF03XZGP,PHU03"
BZM,"DZS953FS,DZZ574FS,FFR107FS,DZS961FS,FBL674FS,DTN049FS,DTN052FS,DTX958FS,DVT739FS,DZN426FS,CB36CBGP"
Watson Transport,"FTH377NW,JBW114NW,BM03FGGP,BR34KDGP,BZ52KYGP,CL32PYGP,HGV572NW,FHG176FS,BZ52KKGP,BY81HZGP,HXL068NW,CK10SVGP,BZ32SMGP,BT53SMGP,BV77NXGP,CL32RCGP,FHR430FS,DXZ780FS,CM30RPGP,FBB164FS,HKY595NW,HFP966NW,HSM672NW,CN14CFGP,DZF580FS,HDH036NW,DNJ560FS,DH83RHGP,FJL812FS,FDC028FS,HNY726NW,JBW114NW,HTY993NW,HBB754NW,CL32PWGP,HLN307NW,FHG177FS,HVB956NW,BG35HGGP,HCH413MP"
Arabellafreight,"PSV748GP,YRN456GP"
DJJ Transport,"BB48XSGP,BN78WSGP,CM77RBGP,ZDF921GP"
