startDate,stopDate,Truck
2015-03-19 00:00:00,2015-03-20 00:00:00,P.G.Y 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Sam's 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Illovo Sub 23271/2
2015-03-19 00:00:00,2015-03-20 00:00:00,BWM003
2015-03-19 00:00:00,2015-03-20 00:00:00,anglo-adhoc
2015-03-19 00:00:00,2015-03-20 00:00:00,BWB002
2015-03-19 00:00:00,2015-03-20 00:00:00,BWB003
2015-03-19 00:00:00,2015-03-20 00:00:00,BWB004
2015-03-19 00:00:00,2015-03-20 00:00:00,BWB005
2015-03-19 00:00:00,2015-03-20 00:00:00,BWB006
2015-03-19 00:00:00,2015-03-20 00:00:00,BWH017
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS08
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS11
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS13
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS15
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS16
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS17
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS18
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS19
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS20
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS21
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS22
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS23
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS24
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM01
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM06
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM07
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM08
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM09
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS08-old
2015-03-19 00:00:00,2015-03-20 00:00:00,BWA002
2015-03-19 00:00:00,2015-03-20 00:00:00,BWC001
2015-03-19 00:00:00,2015-03-20 00:00:00,FXC967MP
2015-03-19 00:00:00,2015-03-20 00:00:00,BWZ002
2015-03-19 00:00:00,2015-03-20 00:00:00,Zem 02
2015-03-19 00:00:00,2015-03-20 00:00:00,BWV001
2015-03-19 00:00:00,2015-03-20 00:00:00,FTV878MP
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBT01
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBT02
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBT03
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBT04
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBT05
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBT06
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM02
2015-03-19 00:00:00,2015-03-20 00:00:00,CKM03
2015-03-19 00:00:00,2015-03-20 00:00:00,BWS14
2015-03-19 00:00:00,2015-03-20 00:00:00,BWM001
2015-03-19 00:00:00,2015-03-20 00:00:00,BWM002
2015-03-19 00:00:00,2015-03-20 00:00:00,BWM004
2015-03-19 00:00:00,2015-03-20 00:00:00,BWC002
2015-03-19 00:00:00,2015-03-20 00:00:00,Zem 01
2015-03-19 00:00:00,2015-03-20 00:00:00,BWB 007
2015-03-19 00:00:00,2015-03-20 00:00:00,BML001
2015-03-19 00:00:00,2015-03-20 00:00:00,BML002
2015-03-19 00:00:00,2015-03-20 00:00:00,BML003
2015-03-19 00:00:00,2015-03-20 00:00:00,Afriworks01
2015-03-19 00:00:00,2015-03-20 00:00:00,Aquarius 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Express 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Goshen 01
2015-03-19 00:00:00,2015-03-20 00:00:00,GTK 01
2015-03-19 00:00:00,2015-03-20 00:00:00,K2S2 01
2015-03-19 00:00:00,2015-03-20 00:00:00,MTL 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Nodada 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Nu-line 01
2015-03-19 00:00:00,2015-03-20 00:00:00,PS 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Ramcon 01
2015-03-19 00:00:00,2015-03-20 00:00:00,SAI 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Selvans 01
2015-03-19 00:00:00,2015-03-20 00:00:00,SKT Trucking 01
