Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
D25,1299,RE - KZN,"",2015-08-06,"R2,552.10",R259.26,70,Yes
D26,1296,RE - Cape,"",2015-08-06,"R2,393.81",R269.66,70,Yes
D27,64,RE- Consolidated,"",2015-08-06,"R2,459.60",R269.66,70,No
D28,1298,RE - KZN,"",2015-08-06,"R2,266.02",R174.16,70,No
D585,"",RE - Rental,"",2015-08-06,"R2,298.31",R284.01,70,No
D586,"",RE - KZN,"",2015-08-06,"R3,034.21",R469.24,70,Yes
D587,"",RE- Consolidated,"",2015-08-06,"R3,034.21",R469.24,70,Yes
D588,"",RE - Rental,"",2015-08-06,"R3,192.63",R598.60,70,Yes
D589,"",RE- Consolidated,"",2015-08-06,"R3,285.92",R601.42,70,Yes
D591,"",RE- Consolidated,"",2015-08-06,"R2,886.17",R469.24,70,Yes
D615,"",RE - Rental,"",2015-08-06,"R2,372.33",R284.01,70,Yes
D615,"",RE - Rental,"",2015-08-06,"R2,372.33",R284.01,70,Yes
