startDate,stopDate,Truck
2015-08-31 00:00:00,2015-09-01 00:00:00,122
2015-08-31 00:00:00,2015-09-01 00:00:00,123
2015-08-31 00:00:00,2015-09-01 00:00:00,124
2015-08-31 00:00:00,2015-09-01 00:00:00,266
2015-08-31 00:00:00,2015-09-01 00:00:00,127
2015-08-31 00:00:00,2015-09-01 00:00:00,54
2015-08-31 00:00:00,2015-09-01 00:00:00,55
2015-08-31 00:00:00,2015-09-01 00:00:00,62
2015-08-31 00:00:00,2015-09-01 00:00:00,168
2015-08-31 00:00:00,2015-09-01 00:00:00,336
2015-08-31 00:00:00,2015-09-01 00:00:00,343
2015-08-31 00:00:00,2015-09-01 00:00:00,344
2015-08-31 00:00:00,2015-09-01 00:00:00,345
2015-08-31 00:00:00,2015-09-01 00:00:00,364
2015-08-31 00:00:00,2015-09-01 00:00:00,267
2015-08-31 00:00:00,2015-09-01 00:00:00,38
2015-08-31 00:00:00,2015-09-01 00:00:00,151
2015-08-31 00:00:00,2015-09-01 00:00:00,328
2015-08-31 00:00:00,2015-09-01 00:00:00,332
2015-08-31 00:00:00,2015-09-01 00:00:00,337
2015-08-31 00:00:00,2015-09-01 00:00:00,347
2015-08-31 00:00:00,2015-09-01 00:00:00,348
2015-08-31 00:00:00,2015-09-01 00:00:00,350
2015-08-31 00:00:00,2015-09-01 00:00:00,372
2015-08-31 00:00:00,2015-09-01 00:00:00,X006
2015-08-31 00:00:00,2015-09-01 00:00:00,414
2015-08-31 00:00:00,2015-09-01 00:00:00,431
2015-08-31 00:00:00,2015-09-01 00:00:00,440
2015-08-31 00:00:00,2015-09-01 00:00:00,435
2015-08-31 00:00:00,2015-09-01 00:00:00,423
2015-08-31 00:00:00,2015-09-01 00:00:00,421
2015-08-31 00:00:00,2015-09-01 00:00:00,420
2015-08-31 00:00:00,2015-09-01 00:00:00,434
2015-08-31 00:00:00,2015-09-01 00:00:00,438
2015-08-31 00:00:00,2015-09-01 00:00:00,430
2015-08-31 00:00:00,2015-09-01 00:00:00,429
